name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Natore,,16705992B43065208682222,BGD,ADM2,education,DISTANCE,10000,605801,194331,32.43,72170,12.04,32.42,225021,12.04
Natore,,16705992B43065208682222,BGD,ADM2,education,DISTANCE,15000,649749,208454,34.79,14123,2.36,34.77,43948,2.35
Natore,,16705992B43065208682222,BGD,ADM2,education,DISTANCE,20000,946238,303511,50.65,95057,15.86,50.64,296489,15.87
Natore,,16705992B43065208682222,BGD,ADM2,education,DISTANCE,25000,1251761,401525,67.0,98014,16.36,67.0,305523,16.35
Natore,,16705992B43065208682222,BGD,ADM2,education,DISTANCE,30000,1406651,451185,75.29,49660,8.29,75.28,154890,8.29
Natore,,16705992B43065208682222,BGD,ADM2,education,DISTANCE,35000,1518184,486947,81.26,35762,5.97,81.25,111533,5.97
Natore,,16705992B43065208682222,BGD,ADM2,education,DISTANCE,40000,1726079,553602,92.38,66655,11.12,92.38,207895,11.13
Natore,,16705992B43065208682222,BGD,ADM2,education,DISTANCE,45000,1855617,595147,99.31,41545,6.93,99.31,129538,6.93
Natore,,16705992B43065208682222,BGD,ADM2,education,DISTANCE,50000,1855617,595147,99.31,0,0.0,99.31,0,0.0
Thakurgaon,,16705992B44482388014877,BGD,ADM2,education,DISTANCE,5000,273351,99937,17.9,99937,17.9,17.9,273351,17.9
Thakurgaon,,16705992B44482388014877,BGD,ADM2,education,DISTANCE,10000,443031,161981,29.02,62044,11.11,29.02,169680,11.11
Thakurgaon,,16705992B44482388014877,BGD,ADM2,education,DISTANCE,15000,675279,246896,44.23,84915,15.21,44.23,232248,15.21
Thakurgaon,,16705992B44482388014877,BGD,ADM2,education,DISTANCE,20000,992421,362849,65.0,115953,20.77,65.0,317142,20.77
Thakurgaon,,16705992B44482388014877,BGD,ADM2,education,DISTANCE,25000,1104219,403728,72.33,40879,7.32,72.32,111798,7.32
Thakurgaon,,16705992B44482388014877,BGD,ADM2,education,DISTANCE,30000,1222422,446939,80.07,43211,7.74,80.07,118203,7.74
Thakurgaon,,16705992B44482388014877,BGD,ADM2,education,DISTANCE,35000,1240961,453714,81.28,6775,1.21,81.28,18539,1.21
Thakurgaon,,16705992B44482388014877,BGD,ADM2,education,DISTANCE,40000,1244311,454939,81.5,1225,0.22,81.5,3350,0.22
Thakurgaon,,16705992B44482388014877,BGD,ADM2,education,DISTANCE,45000,1253395,458260,82.09,3321,0.59,82.09,9084,0.59
Thakurgaon,,16705992B44482388014877,BGD,ADM2,education,DISTANCE,50000,1265725,462768,82.9,4508,0.81,82.9,12330,0.81
